 .gitignore                                         |   5 +
 ...test_final_runtime.cpython-313-pytest-9.1.1.pyc | Bin 7689 -> 7691 bytes
 .../test_cli_run.cpython-313-pytest-9.1.1.pyc      | Bin 15012 -> 15014 bytes
 ...test_native_memory.cpython-313-pytest-9.1.1.pyc | Bin 8072 -> 8074 bytes
 ...st_agent_execution.cpython-313-pytest-9.1.1.pyc | Bin 4859 -> 4861 bytes
 ...t_production_build.cpython-313-pytest-9.1.1.pyc | Bin 4439 -> 4441 bytes
 toolchain/__pycache__/__init__.cpython-313.pyc     | Bin 152 -> 154 bytes
 toolchain/__pycache__/version.cpython-313.pyc      | Bin 275 -> 277 bytes
 toolchain/cache/build_cache.py                     |   0
 toolchain/cache/cache_cli.py                       |   0
 .../cross_platform/cross_platform_toolchain.py     |   0
 toolchain/final/final_toolchain.py                 |   0
 toolchain/packager/artifact_packager.py            |   0
 toolchain/production_toolchain.py                  |   0
 tools/debugger/panther_debugger.py                 |   0
 tools/docgen/panther_docgen.py                     | 106 ++-
 tools/formatter/panther_fmt.py                     |  74 +-
 tools/lsp/panther_lsp.py                           |  55 +-
 tools/panther-regression/panther_regression.py     |   0
 .../__pycache__/__init__.cpython-313.pyc           | Bin 289 -> 291 bytes
 .../__pycache__/runner.cpython-313.pyc             | Bin 4312 -> 4314 bytes
 tools/project_runner/panther_build.py              |   0
 tools/project_runner/panther_debug.py              |   0
 .../__pycache__/__init__.cpython-313.pyc           | Bin 279 -> 281 bytes
 .../__pycache__/wizard.cpython-313.pyc             | Bin 4470 -> 4472 bytes
 tools/project_wizard/panther_new.py                |   0
 vscode-extension/assets/pantherlang-icon.png       | Bin 1833270 -> 1833270 bytes
 vscode-extension/icons/pantherlang-icon.png        | Bin 1833270 -> 1833270 bytes
 vscode-extension/package-lock.json                 |   4 +-
 vscode-extension/package.json                      |   2 +-
 vscode-extension/project_templates/template_cli.py |   0
 .../tools/project_wizard/panther_new.py            |   0
 vscode_extension/extension.js                      |  28 -
 vscode_extension/language-configuration.json       |   1 -
 vscode_extension/package.json                      |  17 -
 vscode_extension/pantherlang-1.0.0.vsix            | Bin 2362 -> 0 bytes
 vscode_extension/syntaxes/panther.tmLanguage.json  |   1 -
 403 files changed, 1427 insertions(+), 627 deletions(-)
